Seccion Nro,Seccion Nombre,Circuito Nro,Circuito Nombre,Escuela,Dirección,Ciudad,Provincia,Pais,Electores,Location, Latitude,Longitude,Found,Quality,Source
1,CAPITAL,12G,ITUZAINGO,ESC DR IGNACIO DUARTE QUIROS,FARADAY 5.168,Córdoba,Córdoba,Argentina,1360,"FARADAY 5.168, Córdoba, Córdoba, Argentina",-31.4634695,-64.0874988,"Faraday, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,13I,SAN JORGE,ESC MUNIC. MONSEÑOR ANGELELLI,FEDERICO RAUCH 2.790,Córdoba,Córdoba,Argentina,1336,"FEDERICO RAUCH 2.790, Córdoba, Córdoba, Argentina",-31.3756136,-64.1382506,"Federico Rauch, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,11J,SANTA ANA,ESC GENERAL MOSCONI,FERREYRA R 2324,Córdoba,Córdoba,Argentina,2039,"FERREYRA R 2324, Córdoba, Córdoba, Argentina",-31.4148474,-64.2156294,"Félix Robin Ferreira 2324, X5002JUJ Córdoba, Argentina",Partial Match,Google
1,CAPITAL,14A,ARGUELLO NORTE,ESC RICARDO NASSIF,MARTIN FERMIN,Córdoba,Córdoba,Argentina,4407,"MARTIN FERMIN, Córdoba, Córdoba, Argentina",-31.3292586,-64.2468757,"Fermin Martin, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,13H,PATRICIOS,ESC MANUEL BELGRANO,ABRAMO 2545,Córdoba,Córdoba,Argentina,4068,"ABRAMO 2545, Córdoba, Córdoba, Argentina",-31.3712374,-64.1357246,"Fernando Abramo 2545, X5012FVO Córdoba, Argentina",Partial Match,Google
1,CAPITAL,10J,SANTA ISABEL,ESC BANDERA ARGENTINA,CASADO 634,Córdoba,Córdoba,Argentina,3795,"CASADO 634, Córdoba, Córdoba, Argentina",-31.468081,-64.2307641,"Fernando J. Casado, Córdoba, Argentina",Partial Match,Google
14,RIO PRIMERO,200,DIEGO DE ROJAS,ESC M.C.CALDECOT DE ARGUELLO,FIGUEROA ALCORTA S/N,DIEGO DE ROJAS,Córdoba,Argentina,503,"FIGUEROA ALCORTA S/N, DIEGO DE ROJAS, Córdoba, Argentina",-31.0278916,-63.3399948,"Figueroa Alcorta, Diego de Rojas, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,10L,VILLA EL LIBERTADOR,ESC PATRICIAS MENDOCINAS,IBARRA ESQ FORESITERI,Córdoba,Córdoba,Argentina,1360,"IBARRA ESQ FORESITERI, Córdoba, Córdoba, Argentina",-31.4712432,-64.2228086,"Forestieri & Carmelo Ibarra, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,11G,PARQUE REPUBLICA,ESC PEREZ BULNES,J DE BARRIENTOS ESQ FORMOSA,Córdoba,Córdoba,Argentina,4104,"J DE BARRIENTOS ESQ FORMOSA, Córdoba, Córdoba, Argentina",-31.4105299,-64.2516948,"Formosa & Barrientos, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,7E,MARQUES DE SOBREMONTE,IPEM 338,FRANCISCO SUAREZ 3760,Córdoba,Córdoba,Argentina,2744,"FRANCISCO SUAREZ 3760, Córdoba, Córdoba, Argentina",-31.3735708,-64.1948808,"Francisco Suárez 3760, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,9C,LOS PARAISOS,COLEGIO FERMIN LAFITTE,FCO VALLE 2443,Córdoba,Córdoba,Argentina,3400,"FCO VALLE 2443, Córdoba, Córdoba, Argentina",-31.3846382,-64.1955492,"Francisco Valles 2443, X5008JCA Córdoba, Argentina",Partial Match,Google
1,CAPITAL,8B,PUEYRREDON,ESC FRAY J A DE SAN ALBERTO,ESQUIU 1340,Córdoba,Córdoba,Argentina,2408,"ESQUIU 1340, Córdoba, Córdoba, Argentina",-31.4031508,-64.1751829,"Fray Mamerto Esquiú 1340, X5004AFJ Córdoba, Argentina",Partial Match,Google
13,RIO CUARTO,166,BERROTARAN,ESC VICTOR MERCANTE,FRAY MAMERTO ESQUIU 25,BERROTARAN,Córdoba,Argentina,2673,"FRAY MAMERTO ESQUIU 25, BERROTARAN, Córdoba, Argentina",-32.4554844,-64.389398,"Fray Mamerto Esquiú, Berrotarán, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,10,BELLA VISTA,INST EDUCACION CORDOBA,FERREYRA Y FRIULI,Córdoba,Córdoba,Argentina,6138,"FERREYRA Y FRIULI, Córdoba, Córdoba, Argentina",-31.4381924,-64.1964122,"Friuli & Martín Ferreyra, Córdoba, Argentina",Partial Match,Google
12,PUNILLA,159,VALLE HERMOSO,IPEM N° 335,GOBERNADOR NUÑEZ 73,VALLE HERMOSO,Córdoba,Argentina,2712,"GOBERNADOR NUÑEZ 73, VALLE HERMOSO, Córdoba, Argentina",-31.1214512,-64.4812553,"Gdor. Núñez, Valle Hermoso, Córdoba, Argentina",Partial Match,Google
21,SANTA MARIA,326,MALAGUEÑO,ESC PROV MANUEL BELGRANO,GRAL BUSTOS 700,MALAGUEÑO,Córdoba,Argentina,3984,"GRAL BUSTOS 700, MALAGUEÑO, Córdoba, Argentina",-31.4629325,-64.3558407,"Gral. Bustos, Malagueño, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,14D,CERRO DE LAS ROSAS,ESC JUAN ZORRILA DE SAN MARTIN,JOSE E BUSTOS 1875 C DE LAS ROSAS,Córdoba,Córdoba,Argentina,3784,"JOSE E BUSTOS 1875 C DE LAS ROSAS, Córdoba, Córdoba, Argentina",-34.1431923,-63.3892911,"Gral. Juan Manuel de Rosas & Juan B. Bustos, Laboulaye, Córdoba, Argentina",Partial Match,Google
