Seccion Nro,Seccion Nombre,Circuito Nro,Circuito Nombre,Escuela,Dirección,Ciudad,Provincia,Pais,Electores,Geo
6,GRAL SAN MARTIN,89,VILLA MARIA,ESCUELA J.MARMOL,NAC. UNIDAS 385,VILLA MARIA,Córdoba,Argentina,3450,"NAC. UNIDAS 385, VILLA MARIA, Córdoba, Argentina"
6,GRAL SAN MARTIN,89,VILLA MARIA,ESC.REP.DEL PARAGUAY,CHILE 565,VILLA MARIA,Córdoba,Argentina,3450,"CHILE 565, VILLA MARIA, Córdoba, Argentina"
12,PUNILLA,156,VILLA CARLOS PAZ,ESC ISLA DE LOS ESTADOS,LOS CEIBOS S/N,VILLA CARLOS PAZ,Córdoba,Argentina,3450,"LOS CEIBOS S/N, VILLA CARLOS PAZ, Córdoba, Argentina"
13,RIO CUARTO,188,RIO CUARTO,ESC FLORENTINO AMEGHINO,9 DE JULIO 314,RIO CUARTO,Córdoba,Argentina,3450,"9 DE JULIO 314, RIO CUARTO, Córdoba, Argentina"
19,SAN JAVIER,268,DOLORES,ESC MARIANO MORENO,PRESIDENTE PERON 565,DOLORES,Córdoba,Argentina,3450,"PRESIDENTE PERON 565, DOLORES, Córdoba, Argentina"
20,SAN JUSTO,285,DEVOTO,ESC CARLOS J FLORIT,DEVOTO,DEVOTO,Córdoba,Argentina,3445,"DEVOTO, DEVOTO, Córdoba, Argentina"
1,CAPITAL,5G,SAN VICENTE,ESC MARIA IGNACIA NAVARRO DE L,CORRIENTES 2006,Córdoba,Córdoba,Argentina,3440,"CORRIENTES 2006, Córdoba, Córdoba, Argentina"
1,CAPITAL,7F,JORGE NEWBERY,ESC JORGE NEWBERY,BENJAMIN MATIENZO 5895,Córdoba,Córdoba,Argentina,3440,"BENJAMIN MATIENZO 5895, Córdoba, Córdoba, Argentina"
1,CAPITAL,12F,JOSE HERNANDEZ,IPEM 167 JOSE MANUEL ESTRADA,B. DE O'HIGGINS 2656,Córdoba,Córdoba,Argentina,3440,"B. DE O'HIGGINS 2656, Córdoba, Córdoba, Argentina"
1,CAPITAL,13A,AYACUCHO,ESC HENOCH D AGUIAR,J DE OLMEDO 650,Córdoba,Córdoba,Argentina,3440,"J DE OLMEDO 650, Córdoba, Córdoba, Argentina"
3,COLON,40,UNQUILLO,INST.PARROQ.NTA.SRA DE LOURDES,JUAN MILICH,UNQUILLO,Córdoba,Argentina,3440,"JUAN MILICH, UNQUILLO, Córdoba, Argentina"
3,COLON,41,VILLA ALLENDE,INSTITUTO NTA.SRA. DE LUJAN,AV.SAN MARTIN 1.070,VILLA ALLENDE,Córdoba,Argentina,3440,"AV.SAN MARTIN 1.070, VILLA ALLENDE, Córdoba, Argentina"
6,GRAL SAN MARTIN,89,VILLA MARIA,INSTITUTO SAN ANTONIO,RUCCI 141,VILLA MARIA,Córdoba,Argentina,3440,"RUCCI 141, VILLA MARIA, Córdoba, Argentina"
